Plate ,Well,Group,Type   ,Sample     ,Wavelength,Abs  ,Meas. Time [s]
12, E02,Assay,Unknown,Un_0109 1/1,620,0.091,88.12
12, F02,Assay,Unknown,Un_0110 1/1,620,0.094,88.97
12, G02,Assay,Unknown,Un_0111 1/1,620,0.094,89.56
12, H02,Assay,Unknown,Un_0112 1/1,620,0.088,90.4
12, A03,Assay,Unknown,Un_0113 1/1,620,0.035,85.27
12, B03,Assay,Unknown,Un_0114 1/1,620,0.035,86.07
12, C03,Assay,Unknown,Un_0115 1/1,620,0.035,86.7
12, D03,Assay,Unknown,Un_0116 1/1,620,0.036,87.51
12, E03,Assay,Unknown,Un_0117 1/1,620,0.035,88.14
12, F03,Assay,Unknown,Un_0118 1/1,620,0.036,88.95
12, G03,Assay,Unknown,Un_0119 1/1,620,0.036,89.58
12, H03,Assay,Unknown,Un_0120 1/1,620,0.036,90.38
12, A04,Assay,Unknown,Un_0121 1/1,620,0.107,85.29
12, B04,Assay,Unknown,Un_0122 1/1,620,0.132,86.05
12, C04,Assay,Unknown,Un_0123 1/1,620,0.074,86.72
12, D04,Assay,Unknown,Un_0124 1/1,620,0.179,87.49
12, E04,Assay,Unknown,Un_0125 1/1,620,0.059,88.16
12, F04,Assay,Unknown,Un_0126 1/1,620,0.065,88.93
12, G04,Assay,Unknown,Un_0127 1/1,620,0.059,89.6
12, H04,Assay,Unknown,Un_0128 1/1,620,0.058,90.36
12, A05,Assay,Unknown,Un_0129 1/1,620,0.103,85.3
12, B05,Assay,Unknown,Un_0130 1/1,620,0.113,86.03
12, C05,Assay,Unknown,Un_0131 1/1,620,0.095,86.74
12, D05,Assay,Unknown,Un_0132 1/1,620,0.141,87.47
12, E05,Assay,Unknown,Un_0133 1/1,620,0.092,88.18
12, F05,Assay,Unknown,Un_0134 1/1,620,0.074,88.91
12, G05,Assay,Unknown,Un_0135 1/1,620,0.076,89.62
12, H05,Assay,Unknown,Un_0136 1/1,620,0.097,90.34
12, A06,Assay,Unknown,Un_0137 1/1,620,0.111,85.32
12, B06,Assay,Unknown,Un_0138 1/1,620,0.142,86.02
12, C06,Assay,Unknown,Un_0139 1/1,620,0.073,86.76
12, D06,Assay,Unknown,Un_0140 1/1,620,0.122,87.45
12, E06,Assay,Unknown,Un_0141 1/1,620,0.088,88.2
12, F06,Assay,Unknown,Un_0142 1/1,620,0.082,88.89
12, G06,Assay,Unknown,Un_0143 1/1,620,0.095,89.63
12, H06,Assay,Unknown,Un_0144 1/1,620,0.093,90.33
12, A07,Assay,Unknown,Un_0145 1/1,620,0.094,85.34
12, B07,Assay,Unknown,Un_0146 1/1,620,0.109,86
12, C07,Assay,Unknown,Un_0147 1/1,620,0.082,86.78
12, D07,Assay,Unknown,Un_0148 1/1,620,0.144,87.43
12, E07,Assay,Unknown,Un_0149 1/1,620,0.034,88.22
12, F07,Assay,Unknown,Un_0150 1/1,620,0.034,88.87
12, G07,Assay,Unknown,Un_0151 1/1,620,0.034,89.65
12, H07,Assay,Unknown,Un_0152 1/1,620,0.034,90.31
12, A08,Assay,Unknown,Un_0153 1/1,620,0.057,85.36
12, B08,Assay,Unknown,Un_0154 1/1,620,0.172,85.98
12, C08,Assay,Unknown,Un_0155 1/1,620,0.048,86.8
12, D08,Assay,Unknown,Un_0156 1/1,620,0.164,87.41
12, E08,Assay,Unknown,Un_0157 1/1,620,0.255,88.24
12, F08,Assay,Unknown,Un_0158 1/1,620,0.242,88.85
12, G08,Assay,Unknown,Un_0159 1/1,620,0.229,89.67
12, H08,Assay,Unknown,Un_0160 1/1,620,0.224,90.29
12, A09,Assay,Unknown,Un_0161 1/1,620,0.078,85.38
12, B09,Assay,Unknown,Un_0162 1/1,620,0.106,85.96
12, C09,Assay,Unknown,Un_0163 1/1,620,0.082,86.82
12, D09,Assay,Unknown,Un_0164 1/1,620,0.088,87.39
