Plate,Well,Group,Type,Sample,Wavelength [Ex],Abs,Time [s]
30,F02,Group 1,Unknown,Un0110,620,0.1381,360.04
30,F01,Group 1,Unknown,Un0102,620,0.1369,360.06
30,G01,Group 1,Unknown,Un0103,620,0.095,360.62
30,G02,Group 1,Unknown,Un0111,620,0.0957,360.63
30,G03,Group 1,Unknown,Un0119,620,0.1213,360.65
30,G04,Group 1,Unknown,Un0127,620,0.0793,360.67
30,G05,Group 1,Unknown,Un0135,620,0.1115,360.69
30,G06,Group 1,Unknown,Un0143,620,0.1038,360.71
30,G07,Group 1,Unknown,Un0151,620,0.0346,360.73
30,G08,Group 1,Unknown,Un0159,620,0.1523,360.75
30,G09,Group 1,Unknown,Un0167,620,0.0845,360.77
30,G10,Group 1,Unknown,Un0175,620,0.2495,360.79
30,G11,Group 1,Unknown,Un0183,620,0.1303,360.81
30,G12,Group 1,Unknown,Un0191,620,0.0353,360.83
30,H12,Group 1,Unknown,Un0192,620,0.0363,361.29
30,H11,Group 1,Unknown,Un0184,620,0.1452,361.31
30,H10,Group 1,Unknown,Un0176,620,0.1393,361.33
30,H09,Group 1,Unknown,Un0168,620,0.1064,361.34
30,H08,Group 1,Unknown,Un0160,620,0.2341,361.36
30,H07,Group 1,Unknown,Un0152,620,0.0347,361.38
30,H06,Group 1,Unknown,Un0144,620,0.145,361.4
30,H05,Group 1,Unknown,Un0136,620,0.1373,361.42
30,H04,Group 1,Unknown,Un0128,620,0.1264,361.44
30,H03,Group 1,Unknown,Un0120,620,0.1094,361.46
30,H02,Group 1,Unknown,Un0112,620,0.1486,361.48
30,H01,Group 1,Unknown,Un0104,620,0.1736,361.5
37,A01,Group 1,Unknown,Un0193,620,0.1749,705.49
37,A02,Group 1,Unknown,Un0200,620,0.1409,705.51
37,A03,Group 1,Unknown,Un0207,620,0.1127,705.53
37,A04,Group 1,Unknown,Un0214,620,0.1373,705.55
37,A05,Group 1,Unknown,Un0221,620,0.1185,705.57
37,A06,Group 1,Unknown,Un0228,620,0.1187,705.58
37,A07,Group 1,Unknown,Un0235,620,0.108,705.6
