"","ID","rmax","topt","a","rssq","well","carbon","temp_origin","fermenter"
"42","B10_galactose_22_Fermenter",0.208446933312768,28.1673889632478,9.95092447448998,0.0145218335794645,"B10","galactose","22","Fermenter"
"43","B10_glucose_22_Fermenter",0.272747766879984,29.9867006337095,9.13266760233068,0.0303124684624188,"B10","glucose","22","Fermenter"
"44","B10_ribose_22_Fermenter",0.203297740955791,37,24.5134446379053,0.00782236629332598,"B10","ribose","22","Fermenter"
"45","B11_fructose_22_Fermenter",0.241821938947362,42,27.637115371045,0.0192716605402384,"B11","fructose","22","Fermenter"
"46","B11_galactose_22_Fermenter",0.2142400914626,28.475118723394,13.42505516775,0.00241803867763257,"B11","galactose","22","Fermenter"
"47","B11_glucose_22_Fermenter",0.269940075343619,29.2140380212628,10.5852077034692,0.0287255097637924,"B11","glucose","22","Fermenter"
"48","B11_ribose_22_Fermenter",0.175249235610485,37,31.0955965040661,0.00293984733342515,"B11","ribose","22","Fermenter"
"49","B2_fructose_12.5_Fermenter",0.211857804201744,24.0006318369871,11.0008394689173,0.00573914109369807,"B2","fructose","12.5","Fermenter"
"50","B2_galactose_12.5_Fermenter",0.193239365678591,22.6986568818549,8.3330926202472,0.00458919552849088,"B2","galactose","12.5","Fermenter"
"51","B2_glucose_12.5_Fermenter",0.168276556724548,22.4259908597407,10.3880067087731,0.00692915820347444,"B2","glucose","12.5","Fermenter"
"52","B2_ribose_12.5_Fermenter",0.159834105611825,23.5532220986793,10.61517507498,0.00978266092892193,"B2","ribose","12.5","Fermenter"
"53","B3_fructose_12.5_Fermenter",0.19981803017006,21.6269757087972,9.0130485368848,0.00579396462070204,"B3","fructose","12.5","Fermenter"
"54","B3_galactose_12.5_Fermenter",0.193040916563724,22.688087838344,8.24790840296297,0.00426277249787935,"B3","galactose","12.5","Fermenter"
"55","B3_glucose_12.5_Fermenter",0.228687960678449,24.3926406974256,9.38108576495434,0.00291061526084424,"B3","glucose","12.5","Fermenter"
"56","B3_ribose_12.5_Fermenter",0.143756197326738,22.3671855338415,9.61338585522222,0.00548479231552846,"B3","ribose","12.5","Fermenter"
"57","B4_fructose_42_Fermenter",0.380653482648964,34.5440427445115,8.74719207123109,0.0340844631101691,"B4","fructose","42","Fermenter"
"58","B4_galactose_42_Fermenter",0.216916479904546,28.6654063505909,11.2285002135038,0.00223810567297339,"B4","galactose","42","Fermenter"
"59","B4_glucose_42_Fermenter",0.320032513610908,38.4623648019738,17.1421551229104,0.000483220682193095,"B4","glucose","42","Fermenter"
"60","B4_ribose_42_Fermenter",0.259848635946577,37,11.3613047064935,0.000608280867609957,"B4","ribose","42","Fermenter"
"61","B5_fructose_42_Fermenter",0.403266698390567,35.9047780455329,9.13844640904442,0.0266522375890164,"B5","fructose","42","Fermenter"
