"","well","tmp","carbon_source","carbon","temperature","Fermenter","mean_r","mean_lag"
"88","A4",30,"ribose","Glu",42,"Fermenter",0.196796987352435,4.82931582344431
"89","A4",37,"glucose","Glu",42,"Fermenter",0.326840710024446,3.74838657372386
"90","A4",37,"galactose","Glu",42,"Fermenter",0.231000344017088,4.03322490103997
"91","A4",37,"fructose","Glu",42,"Fermenter",0.23789037817252,3.74624116244704
"92","A4",37,"ribose","Glu",42,"Fermenter",0.179587946454866,5.39843994487579
"93","A4",42,"glucose","Glu",42,"Fermenter",0.205326289284841,7.8930357976212
"94","A4",42,"galactose","Glu",42,"Fermenter",0.297344281678335,4.50113779483744
"95","A4",42,"fructose","Glu",42,"Fermenter",0.378962564012598,5.67683760490097
"96","A5",12,"glucose","Gal",42,"Fermenter",0.115082070341243,32.3967837568811
"97","A5",12,"galactose","Gal",42,"Fermenter",0.115051828767242,38.6060247508137
"98","A5",12,"fructose","Gal",42,"Fermenter",0.0887975643399529,40.6868570162621
"99","A5",12,"ribose","Gal",42,"Fermenter",0.0543489273212998,39.677264612438
"100","A5",22,"glucose","Gal",42,"Fermenter",0.195876170252486,4.29320158659254
"101","A5",22,"galactose","Gal",42,"Fermenter",0.177612230567391,3.06445460871482
"102","A5",22,"fructose","Gal",42,"Fermenter",0.160522281444949,4.02748757607522
"103","A5",22,"ribose","Gal",42,"Fermenter",0.0979979166251129,10.4382126382774
"104","A5",30,"glucose","Gal",42,"Fermenter",0.213562034072322,2.01299033889033
"105","A5",30,"galactose","Gal",42,"Fermenter",0.165474482392385,0.732562760182666
"106","A5",30,"fructose","Gal",42,"Fermenter",0.196724229563427,3.11912415283036
"107","A5",30,"ribose","Gal",42,"Fermenter",0.18084656589059,1.99276056196023
"108","A5",37,"glucose","Gal",42,"Fermenter",0.265547223165212,0.281008946933971
"109","A5",37,"galactose","Gal",42,"Fermenter",0.253983110621989,4.12144612190387
"110","A5",37,"fructose","Gal",42,"Fermenter",0.319030044370585,0.0503117842707697
"111","A5",37,"ribose","Gal",42,"Fermenter",0.197806966277932,1.80377859729096
"112","A5",42,"glucose","Gal",42,"Fermenter",0.344514762689219,22.8090888888865
"113","A5",42,"galactose","Gal",42,"Fermenter",0.258478277963256,9.57719366167944
"114","A5",42,"fructose","Gal",42,"Fermenter",0.260660639050784,4.23523818336565
"115","A6",12,"glucose","Glu",37.7,"Fermenter",0.093383357892043,10.9386530551137
"116","A6",12,"galactose","Glu",37.7,"Fermenter",0.0756730500983245,17.4322096607108
"117","A6",12,"fructose","Glu",37.7,"Fermenter",0.0806473858006617,18.4794939456772
"118","A6",12,"ribose","Glu",37.7,"Fermenter",0.0589229482584833,-218502.015585198
"119","A6",22,"glucose","Glu",37.7,"Fermenter",0.236675383322451,5.53372955765791
"120","A6",22,"galactose","Glu",37.7,"Fermenter",0.205013420355074,3.37338967242965
"121","A6",22,"fructose","Glu",37.7,"Fermenter",0.187040726940484,3.03126634933642
"122","A6",22,"ribose","Glu",37.7,"Fermenter",0.11273800555893,4.33094557033137
"123","A6",30,"glucose","Glu",37.7,"Fermenter",0.297010174229173,1.61033495985227
"124","A6",30,"galactose","Glu",37.7,"Fermenter",0.256462733732288,1.40508731047909
"125","A6",30,"fructose","Glu",37.7,"Fermenter",0.269574496748766,0.124144423833241
"126","A6",30,"ribose","Glu",37.7,"Fermenter",0.198366789707158,4.72060366773974
"127","A6",37,"glucose","Glu",37.7,"Fermenter",0.30935846538892,0.198439683485107
"128","A6",37,"galactose","Glu",37.7,"Fermenter",0.240607452307114,2.07543038445652
"129","A6",37,"fructose","Glu",37.7,"Fermenter",0.335604149781437,0.290804987771175
"130","A6",37,"ribose","Glu",37.7,"Fermenter",0.337034386521236,3.3267466968926
"131","A6",42,"glucose","Glu",37.7,"Fermenter",0.346646296974461,4.27069856165588
"132","A6",42,"galactose","Glu",37.7,"Fermenter",0.212505986320925,4.65773173611624
"133","A6",42,"fructose","Glu",37.7,"Fermenter",0.3675363828067,5.41053242773322
"134","A7",12,"glucose","Gal",37.7,"Fermenter",0.0958075859424988,12.421270850942
"135","A7",12,"galactose","Gal",37.7,"Fermenter",0.0804315407238222,18.6623168654314
"136","A7",12,"fructose","Gal",37.7,"Fermenter",0.0752121512889511,18.857614867287
"137","A7",12,"ribose","Gal",37.7,"Fermenter",0.0570451276367189,32.0432414245691
"138","A7",22,"glucose","Gal",37.7,"Fermenter",0.235687880442862,3.91694438331981
"139","A7",22,"galactose","Gal",37.7,"Fermenter",0.205958161671343,2.88242726448408
"140","A7",22,"fructose","Gal",37.7,"Fermenter",0.188695670688587,4.31464547922165
"141","A7",22,"ribose","Gal",37.7,"Fermenter",0.104128652370864,6.72582374606439
"142","A7",30,"glucose","Gal",37.7,"Fermenter",0.306772254255085,2.39252164202222
"143","A7",30,"galactose","Gal",37.7,"Fermenter",0.232797742836627,0.636943718013589
"144","A7",30,"fructose","Gal",37.7,"Fermenter",0.257906050105903,0.132531162954546
"145","A7",30,"ribose","Gal",37.7,"Fermenter",0.200700206808531,3.57326617795503
"146","A7",37,"glucose","Gal",37.7,"Fermenter",0.16856859304659,0.22890484703659
"147","A7",37,"galactose","Gal",37.7,"Fermenter",0.211993718321613,3.58736842458696
"148","A7",37,"fructose","Gal",37.7,"Fermenter",0.219285214983992,2.49445457144499
"149","A7",37,"ribose","Gal",37.7,"Fermenter",0.208888677053019,3.17201735412482
"150","A7",42,"glucose","Gal",37.7,"Fermenter",0.319704565832758,4.47499524918625
"151","A7",42,"galactose","Gal",37.7,"Fermenter",0.252817738691436,6.34570458152593
"152","A7",42,"fructose","Gal",37.7,"Fermenter",0.283796453466814,5.57881310427408
"153","A8",12,"glucose","Glu",30,"Fermenter",0.0688160143243098,25.0292146175858
"154","A8",12,"galactose","Glu",30,"Fermenter",0.0900428449199432,17.2792938500809
"155","A8",12,"fructose","Glu",30,"Fermenter",0.0888402773879817,22.5513824981113
"156","A8",12,"ribose","Glu",30,"Fermenter",0.0715137213487982,38.8852922030953
"157","A8",22,"glucose","Glu",30,"Fermenter",0.185358955161461,4.79171841170859
"158","A8",22,"galactose","Glu",30,"Fermenter",0.195161739995552,2.36236560923791
"159","A8",22,"fructose","Glu",30,"Fermenter",0.163623576989986,2.57389609363337
"160","A8",22,"ribose","Glu",30,"Fermenter",0.104606135101362,18.8838320505162
"161","A8",30,"glucose","Glu",30,"Fermenter",0.196952406114125,3.74120878642865
"162","A8",30,"galactose","Glu",30,"Fermenter",0.20595503080772,1.61783572155705
"163","A8",30,"fructose","Glu",30,"Fermenter",0.180314442805895,1.12531831528306
"164","A8",30,"ribose","Glu",30,"Fermenter",0.192310464518654,-1.16295338219566
"165","A8",37,"glucose","Glu",30,"Fermenter",0.209496644766477,5.77214844258781
"166","A8",37,"galactose","Glu",30,"Fermenter",0.265050211576305,6.13296485483023
"167","A8",37,"fructose","Glu",30,"Fermenter",0.222254655848378,5.20290447844274
"168","A8",37,"ribose","Glu",30,"Fermenter",0.220570750759709,4.01667836720776
"169","A8",42,"glucose","Glu",30,"Fermenter",0.0131698902443812,-2.57311336325275
"170","A8",42,"galactose","Glu",30,"Fermenter",0.0193196958190358,-0.414996948692478
"171","A8",42,"fructose","Glu",30,"Fermenter",0.308444976536346,24.598343319244
"172","A9",12,"glucose","Gal",30,"Fermenter",0.1058590314264,16.8225909654291
"173","A9",12,"galactose","Gal",30,"Fermenter",0.132589740921594,23.473688100385
"174","A9",12,"fructose","Gal",30,"Fermenter",0.14898067537293,31.9170805439833
"175","A9",12,"ribose","Gal",30,"Fermenter",0.0963574568880424,36.5887817576599
"176","A9",22,"glucose","Gal",30,"Fermenter",0.222399600958427,3.96633462506901
"177","A9",22,"galactose","Gal",30,"Fermenter",0.204437464617189,3.45942045751452
"178","A9",22,"fructose","Gal",30,"Fermenter",0.169674611321815,3.97804936754489
"179","A9",22,"ribose","Gal",30,"Fermenter",0.11173301077873,12.0968007479283
"180","A9",30,"glucose","Gal",30,"Fermenter",0.241224008239106,1.36557288109196
"181","A9",30,"galactose","Gal",30,"Fermenter",0.207501475353168,0.110137558365285
