Temp,Carbon,Rep,rf
22,Rib,R2,0.00337331334332834
22,Rib,R3,0.0111809045226131
22,Rib,R4,0.000496709300881659
22,Sol,R1,0.00149588631264024
22,Sol,R2,0.000497760079641613
22,Sol,R3,0.00224494886505363
22,Sol,R4,0.000496832691591107
22,Suc,R1,0.0706117021276596
22,Suc,R2,0.0141396288347431
22,Suc,R3,0.002615518744551
22,Suc,R4,0.00675
30,Ara,R1,0.00599550337247065
30,Ara,R2,0.00111898545318911
30,Ara,R3,0.0420385461130514
30,Ara,R4,0.00662168915542229
30,Fru,R1,0.000124177325220415
30,Fru,R2,0.000995148650329643
30,Fru,R3,0.00386967919111222
30,Fru,R4,0.000994530084535057
30,Fuc,R1,13.660777385159
30,Fuc,R2,11.6196319018405
30,Fuc,R3,20.263698630137
30,Fuc,R4,3.801393728223
30,Gal,R1,0.00149588631264024
30,Gal,R2,0.00236612702366127
30,Gal,R3,0.000870646766169154
30,Gal,R4,0.00111787355607999
30,Glu,R1,2.16169544740973
30,Glu,R2,0.579184633477068
30,Glu,R3,0.369369369369369
30,Glu,R4,1.47617583768829
30,Gly,R1,0.00360920970752956
30,Gly,R2,0.000744601638123604
30,Gly,R3,0.000620424370269264
30,Gly,R4,0.000869133349888254
30,Gol,R1,0.490573012939002
30,Gol,R2,0.285554846938776
30,Gol,R3,0.119844466046382
30,Gol,R4,0.00136595057742456
30,H2O,R1,3.50505050505051
30,H2O,R2,5.07838660578387
30,H2O,R3,3.25987193169691
30,H2O,R4,6.0855614973262
30,Lac,R1,0.0842984109884191
30,Lac,R2,0.0760608486789432
30,Lac,R3,0.0123394610929237
30,Lac,R4,0.0138417012709198
30,Mal,R1,0.0328120994616765
30,Mal,R2,0.152491408934708
30,Mal,R3,0.401287180379196
30,Mal,R4,0.596908442330559
30,Man,R1,0.00174216027874564
30,Man,R2,0.00436790215899164
30,Man,R3,0.00136884021901444
30,Man,R4,0.0593799264319496
30,Mel,R1,0.0338765558834852
30,Mel,R2,0.0210740129490923
30,Mel,R3,0.0306174737381501
30,Mel,R4,0.00511285696470882
30,Mol,R1,0.327836411609499
30,Mol,R2,0.000496832691591107
30,Mol,R3,0.0321877404462683
30,Mol,R4,0.0190994181634202
30,Rha,R1,0.0144672285822116
30,Rha,R2,0.00323463548146305
30,Rha,R3,0.00186358553857622
30,Rha,R4,0.00136595057742456
30,Rib,R1,0.000372347027429564
30,Rib,R2,0.000372902423865755
30,Rib,R3,0.000497141436738752
30,Rib,R4,0.000868917576961271
30,Sol,R1,0.000869457210284437
30,Sol,R2,0.00161651330514797
30,Sol,R3,0.220318423047763
30,Sol,R4,0.0157609380910352
30,Suc,R1,0.00111870727159727
30,Suc,R2,0.00136901057871811
30,Suc,R3,0.00024869435463815
30,Suc,R4,0.00111801242236025
37,Ara,R1,0.12
37,Ara,R2,0.175510204081633
37,Ara,R3,0.214823742090991
37,Ara,R4,0.123276222315086
37,Fru,R1,0.0638522427440633
37,Fru,R2,0.123589243416469
37,Fru,R3,0.0773547094188377
37,Fru,R4,0.244252430180528
37,Fuc,R1,2.44762719110731
37,Fuc,R2,0.731215113782739
37,Fuc,R3,0.484262838210933
37,Fuc,R4,0.444126074498567
37,Gal,R1,0.058962573867367
37,Gal,R2,0.0586845214651438
37,Gal,R3,0.0894352877600649
37,Gal,R4,0.143992055610725
37,Glu,R1,5.75943000838223
37,Glu,R2,2.93942354665364
37,Glu,R3,16.5304347826087
37,Glu,R4,38.1456310679612
37,Gly,R1,0.00124161907126893
37,Gly,R2,0.00099304865938431
37,Gly,R3,0
37,Gly,R4,0.00186358553857622
37,Gol,R1,0.0305431309904153
37,Gol,R2,0.0913520097442144
37,Gol,R3,0.0338461538461538
37,Gol,R4,0.0350404312668464
37,H2O,R1,0.507008035881144
37,H2O,R2,0.527851458885942
37,H2O,R3,0.469120058298415
37,H2O,R4,0.897858319604613
37,Lac,R1,0.00186358553857622
37,Lac,R2,0.00111731843575419
37,Lac,R3,0.000620424370269264
37,Lac,R4,0.00111731843575419
37,Mal,R1,0.172093023255814
37,Mal,R2,0.161959654178674
37,Mal,R3,0.141078251025895
37,Mal,R4,0.0631509558338827
37,Man,R1,0.068362480127186
37,Man,R2,0.150028522532801
37,Man,R3,0.16498121930078
37,Man,R4,0.154308617234469
37,Mel,R1,0.100286532951289
37,Mel,R2,0.157788944723618
37,Mel,R3,0.271322717956803
37,Mel,R4,0.152164594942135
37,Mol,R1,0.118136439267887
37,Mol,R2,0.129253605937544
37,Mol,R3,0.105717811600165
37,Mol,R4,0.215189873417722
37,Rha,R1,0.358719460825611
37,Rha,R2,0.381294964028777
37,Rha,R3,0.434109905744265
37,Rha,R4,0.480176211453745
37,Rib,R1,0.05
37,Rib,R2,0.0100200400801603
37,Rib,R3,0.0495900039047247
37,Rib,R4,0.0365038560411311
37,Sol,R1,0.109063402558108
37,Sol,R2,0.0803858520900322
37,Sol,R3,0.124843074347887
37,Sol,R4,0.107844484132436
37,Suc,R1,0.00737039350405996
37,Suc,R2,0.0312020460358056
37,Suc,R3,0.0353062010527667
37,Suc,R4,0.0956521739130435
