"","r","t.r","lag","maxOD.fit","col","row","tmp"
"71",0.425816902071236,2.15172413781,0.702360252241581,0.357963289385702,5,1,28
"72",0.572420513108264,5.46206896521,4.21858496834059,0.307715396375177,4,1,28
"73",0.880890516746428,4.46896551699,3.67804047868575,0.442716316942091,9,1,28
"74",0.622695782022317,2.15172413781,1.11165512770868,0.34747585144127,5,2,28
"75",0.362230139105149,6.95172413754,4.91652257145352,0.34943014080985,2,4,28
"76",0.889559427536952,4.79999999973,3.97845443374525,0.43523181676074,9,3,28
"77",0.635422376093525,5.29655172384,4.17684595088524,0.480555715200142,1,2,28
"78",0.350587501025387,8.2758620685,5.93372202038949,0.375630229582575,2,3,28
"79",0.568542927596236,5.29655172384,4.00039164746627,0.259205925803848,3,1,28
"80",0.418021317846427,4.46896551699,2.88637683237156,0.35260809075673,5,4,28
"81",0.414082388829703,2.31724137918,1.93569594690296,0.411701951477617,6,2,28
"82",0.463943206011868,2.31724137918,1.95201897265767,0.389743033189538,6,3,28
"83",0.66660491902392,2.48275862055,2.2200300210939,0.477225322908087,1,1,28
"84",0.604046807989779,5.79310344795,4.53039651257109,0.245500201108679,3,2,28
"85",0.65299662935555,2.81379310329,2.4503570168353,0.311382351593361,4,3,28
"86",0.458087393165614,2.81379310329,2.67685822850611,0.209346951913382,4,4,28
"87",0.50731788172983,2.97931034466,3.28641672587553,0.221675939730402,4,2,28
"88",0.617625658453904,2.97931034466,3.60241498366617,0.46910325251858,1,3,28
"89",0.809850919867064,3.14482758603,2.92746554433471,0.466559035638333,1,4,28
"90",0.764434970982016,6.28965517206,5.45285944478839,0.270406741127927,10,3,28
"91",0.662581815152521,3.80689655151,3.82289925340743,0.226744020515716,3,4,28
"92",0.385057544799648,4.13793103425,4.36444622516277,0.0797267373224916,12,2,28
"93",0.506757569286262,4.30344827562,4.06680436231874,0.0860616384116732,12,1,28
"94",0.359957973513847,18.70344827481,16.6611197376684,0.107921725560842,7,2,28
"95",0.228372371020612,8.2758620685,6.73016698727517,0.154804454305956,7,3,28
"96",0.479550923000151,17.37931034385,15.769184694067,0.132587431738023,7,4,28
"97",0.37207183278537,4.46896551699,3.11073669599369,0.268790282604873,3,1,30
"98",0.404726646564311,5.95862068932,4.70185016709268,0.0910633990724424,12,1,30
"99",0.392247648503885,4.46896551699,2.47786610748604,0.106585545497173,12,2,30
"100",0.579774698133399,6.95172413754,5.73152870090213,0.390584642378735,9,2,30
"101",0.241636362887249,4.63448275836,3.19879736158866,0.0709010420363725,8,2,30
"102",0.283878950620487,6.78620689617,4.50776591901403,0.220893502838153,3,3,30
"103",0.50515089982041,6.78620689617,5.17669816966991,0.2478493883064,10,3,30
"104",0.638818461887775,2.15172413781,0.966492155043349,0.451566090612366,11,3,30
"105",0.406102790129163,5.13103448247,3.46414419522753,0.0895638396325593,12,3,30
"106",0.369094102822416,6.28965517206,4.61952607132677,0.0850099305669939,12,4,30
"107",0.457767246270494,5.13103448247,3.61302764581299,0.396359435300395,9,4,30
"108",0.317197013248472,6.45517241343,4.43649409361999,0.0669760574230325,8,4,30
"109",0.473197941573672,3.80689655151,2.73453728570724,0.429630775841381,6,4,30
"110",0.207266888597714,3.64137931014,1.58081538784714,0.0415081357326915,2,4,30
"111",0.648642055171084,2.15172413781,1.11540260659195,0.352131844793822,5,2,30
"112",0.552576284917648,3.64137931014,2.78869352117528,0.416323432942878,6,3,30
"113",0.598412187599816,2.15172413781,1.22653350716544,0.43699465470067,1,4,30
"114",0.645888466964636,3.97241379288,2.77043877205525,0.461233906852208,1,1,30
"115",0.615508143506868,2.15172413781,1.40135725774474,0.358394322246725,5,3,30
"116",0.732763829036108,2.15172413781,1.53885567829494,0.440930049833313,11,4,30
