"","fit","se.fit","t","deriv.fit","deriv.sd","OD.frac","lOD","col","row","tmp"
"3731",-2.46427153734356,0.0136468779907219,12.91034482686,0.280269523928666,0.011680574581872,0.262713025054731,-2.5412230652669,5,4,23
"3732",-2.41733423835638,0.0135581987447415,13.07586206823,0.286732772943954,0.0118110837097185,0.275652618029676,-2.49144799783142,5,4,23
"3733",-2.36940517523466,0.0136468781744968,13.2413793096,0.292253283605976,0.0116805589798419,0.289514488031697,-2.43064576306156,5,4,23
"3734",-2.32064038742256,0.0138968678026775,13.40689655097,0.296831056000016,0.0112952318427596,0.304330762176096,-2.3575694013268,5,4,23
"3735",-2.27119591436425,0.0142638499281426,13.57241379234,0.300466090057187,0.0106760269773529,0.320133567578173,-2.29263476214088,5,4,23
"3736",-2.2212277955039,0.0146846393550013,13.73793103371,0.303158385779371,0.00986646074631167,0.33695503135323,-2.22933463125445,5,4,23
"3737",-2.17089207028569,0.015087885497089,13.90344827508,0.30490794324103,0.0089502374239554,0.354827280616568,-2.16980398176023,5,4,23
"3738",-2.12034477815379,0.0154030029195677,14.06896551645,0.305714762400637,0.00808473496512,0.373782442483487,-2.10209623224464,5,4,23
"3739",-2.06974195855237,0.0155668063805809,14.23448275782,0.30557884320654,0.00754401595483105,0.393852644069288,-2.03868354920767,5,4,23
"3740",-2.0192394690752,0.0155326485705431,14.39999999919,0.304505130244151,0.00766438374796285,0.415061491843556,-1.98267787324753,5,4,23
"3741",-1.96899105330536,0.0153123208200484,14.56551724056,0.302509691427425,0.00835017912216613,0.437333539769401,-1.9330926453447,5,4,23
"3742",-1.91914909094802,0.0149604318017649,14.73103448193,0.299593762549458,0.00925569838555721,0.460529436967054,-1.8766639763185,5,4,23
"3743",-1.86986593897704,0.0145432085901988,14.8965517233,0.295757343656887,0.0101491134923834,0.484508767476027,-1.82635091399767,5,4,23
"3744",-1.82129395436631,0.0141322887960098,15.06206896467,0.291000434678978,0.010902247714069,0.509131115335835,-1.78260153144329,5,4,23
"3745",-1.7735854940897,0.0137974144448601,15.22758620604,0.285323035674954,0.0114474812389658,0.534256064585991,-1.76317201237614,5,4,23
"3746",-1.72689291512108,0.0135967425387315,15.39310344741,0.278725146616888,0.0117501002787361,0.559743199266009,-1.7175800710538,5,4,23
"3747",-1.68136857443433,0.0135661222175087,15.55862068878,0.27120676744265,0.0117945537001316,0.585452103415404,-1.67611204570209,5,4,23
"3748",-1.63716482900333,0.0137110892530285,15.72413793015,0.262767898308594,0.0115787160401761,0.611242361073688,-1.62302986595357,5,4,23
"3749",-1.59443403580194,0.0140055265359386,15.88965517152,0.253408539100854,0.0111131360566919,0.636973556280377,-1.57021719928082,5,4,23
"3750",-1.55332855180403,0.0143977321523487,16.05517241289,0.24312868981053,0.0104248658263168,0.662505273074983,-1.54084512096849,5,4,23
"3751",-1.5140007339835,0.0148207152445545,16.22068965426,0.231928350478503,0.00956792717120308,0.68769709549702,-1.50192970471882,5,4,23
"3752",-1.47660293931421,0.0152025251016816,16.38620689563,0.219807521114877,0.00864545997701831,0.712408607586002,-1.47447005202362,5,4,23
"3753",-1.44128752477003,0.0154743638379788,16.551724137,0.206766201694565,0.0078487937035426,0.736499393381444,-1.4490211910282,5,4,23
"3754",-1.40820684732484,0.0155766926708694,16.71724137837,0.192804392206383,0.00749286259697782,0.759829036922858,-1.42920186213117,5,4,23
"3755",-1.37747411594004,0.0154766060389127,16.88275861974,0.178631693310928,0.00783603511541186,0.782274726246104,-1.4032370818502,5,4,23
"3756",-1.34904594752718,0.0152065291795866,17.04827586111,0.164957619774586,0.0086246060913623,0.803784065372419,-1.40608898844807,5,4,23
"3757",-1.32283981098532,0.0148255723590369,17.21379310248,0.151782171645194,0.00954315195138581,0.824322262319387,-1.33484107953097,5,4,23
