"","well","SangerID","carbon.x","temperature","color","tmp","Acetate","Lactate","CorrectedOD","CellNperML","Cacid","Tmatches","glucose","glucose_consumption","Cglucose_consumption","Cglucose_consumption_percell","Cacid_percell","acid_glu_ratio","acid_glu_ratio_per_cell","carbon_source","Fermenter","mean_r","mean_lag","ID","rmax","topt","a","rssq","carbon.y","temp_origin","fermenter","subopt","high_temp"
"79","F3","897","Rib",12,"blue",22,4.494359086,0,0.051675,1397782913,8.988718173,"No",0.114032059,0.593455477973684,58.7174773931079,4.20075798945669e-11,6.43069684813067e-12,0.153084202048078,0.153084202048078,"glucose","Fermenter",0.231469381300494,0.198409080273463,"F3_glucose_12_Fermenter",0.517562573343819,26.7029535247946,3.9993472537991,0.0143338349632789,"glucose",12,"Fermenter",FALSE,FALSE
"80","F4","809","Fru",42,"blue",22,3.001932186,0,0.040575,1097533463,6.003864372,"No",0.119950678,0.587536858973684,58.1318793318725,5.29659288683324e-11,5.47032466380481e-12,0.103280066651969,0.103280066651969,"glucose","Fermenter",0.173202851785675,0.955899101797438,"F4_glucose_40_Fermenter",0.51982222263125,34.3526923546595,9.26109664108894,0.00576775544873706,"glucose",40,"Fermenter",FALSE,FALSE
"81","F5","913","Rib",42,"blue",22,3.19967875,0,0.048975,1324749263,6.399357501,"No",0.118964242,0.588523294973684,58.2294789592742,4.39550944360663e-11,4.83061789859626e-12,0.109898931183563,0.109898931183563,"glucose","Fermenter",0.205234296803331,0.98594689532784,"F5_glucose_40_Fermenter",0.559043728545321,32.3670996206672,7.425328951783,0.0179900280569528,"glucose",40,"Fermenter",FALSE,FALSE
"82","F6","925","Fru",37,"blue",22,4.465754238,0.205514193,0.053875,1457291813,9.548051054,"No",0.115511714,0.591975822973684,58.5710778530636,4.01917291585468e-11,6.55191428979777e-12,0.163016481922239,0.163016481922239,"glucose","Fermenter",0.142994733766048,2.76923318230142,"F6_glucose_37_Fermenter",0.44918578096164,31.8774295488331,6.96771412497306,0.0303204002495637,"glucose",37,"Fermenter",FALSE,FALSE
"83","F7","929","Rib",37,"blue",22,2.634422062,0.044747075,0.049875,1349093813,5.403085349,"No",0.113045623,0.594441913973684,58.8150770205096,4.3595987509365e-11,4.00497378087079e-12,0.0918656511682518,0.0918656511682518,"glucose","Fermenter",0.135196605224687,2.10931757316624,"F7_glucose_37_Fermenter",0.560031445669085,34.2335950216428,8.48659768594117,0.00709001619910581,"glucose",37,"Fermenter",FALSE,FALSE
"84","F8","941","Fru",30,"blue",22,2.913630261,0.209451347,0.054675,1478931413,6.455614563,"No",0.114525277,0.592962259973684,58.668677579407,3.96696405686577e-11,4.3650533799298e-12,0.11003511293164,0.11003511293164,"glucose","Fermenter",0.208148265368845,3.91083226874676,"F8_glucose_30_Fermenter",0.426799372394776,33.59243571834,11.6017949070346,0.00843232234611726,"glucose",30,"Fermenter",FALSE,FALSE
"85","F9","944","Rib",30,"blue",22,3.858833965,0.174016962,0.054275,1468111613,8.239718815,"No",0.116004932,0.591482604973684,58.5222780393628,3.98622812606025e-11,5.6124607570964e-12,0.140796276068711,0.140796276068711,"glucose","Fermenter",0.185440608470778,2.02497953904094,"F9_glucose_30_Fermenter",0.450367481595909,31.4425383921454,7.64657173933072,0.0441684907825391,"glucose",30,"Fermenter",FALSE,FALSE
"86","F10","950","Fru",22,"blue",22,3.847018918,0,0.027275,737775112.5,7.694037837,"Yes",0.130308261,0.577179275973684,57.107082749446,7.74044580548872e-11,1.04287034173981e-11,0.134730010124263,0.134730010124263,"glucose","Fermenter",0.194121861391732,1.18978111201907,"F10_glucose_22_Fermenter",0.323844527388984,22.3274198056247,14.1608899509065,0.0207205099835442,"glucose",22,"Fermenter",FALSE,FALSE
"87","F11","952","Rib",22,"blue",22,2.690388071,0.07165096,0.063275,1711557113,5.595729021,"Yes",0.110579531,0.596908005973684,59.0590762868973,3.45060505654872e-11,3.26937908089544e-12,0.0947479942594607,0.0947479942594607,"glucose","Fermenter",0.196674137681032,2.33307697518364,"F11_glucose_22_Fermenter",0.471511947963146,31.355774827401,7.33517045929444,0.0535016397125369,"glucose",22,"Fermenter",FALSE,FALSE
"88","G9","942","Fru",30,"blue",22,4.615511797,0.710425638,0.060275,1630408613,11.36230051,"No",0.102688039,0.604799497973684,59.8398737018778,3.67023783024372e-11,6.96898950324669e-12,0.189878417300928,0.189878417300928,"glucose","Fermenter",0.2140175824885,2.00057830137639,"G9_glucose_30_Fermenter",0.418594608216378,31.2200687397064,8.99086068654307,0.0324367781087834,"glucose",30,"Fermenter",FALSE,FALSE
"89","G11","953","Rib",22,"blue",22,7.210643302,0,0.024775,670151362.5,14.4212866,"Yes",0.097755857,0.609731679973684,60.3278720367698,9.00212629751534e-11,2.15194468100481e-11,0.239048488088727,0.239048488088727,"glucose","Fermenter",0.174512093069794,5.38646858309309,"G11_glucose_22_Fermenter",0.308117078861006,16.100257852599,19.8563694526689,0.0129175427885201,"glucose",22,"Fermenter",TRUE,FALSE
"90","A2","894","Glu",12,"blue",30,5.462296276,0.777296299,0.05186875,1403023753,13.25648145,"No",0.159959509,0.547528027973684,54.1733386882029,3.86118471425501e-11,9.44850821068031e-12,0.244704900436325,0.244704900436325,"glucose","Fermenter",0.20692193345767,1.63001073276607,"A2_glucose_12_Fermenter",0.645049650720963,26.3754179251936,3.07153869101788,0.0149456064668825,"glucose",12,"Fermenter",TRUE,FALSE
"91","A3","898","Gal",12,"blue",30,5.715598842,0.2979951,0.06566875,1776306853,12.32518298,"No",0.135040462,0.572447074973684,56.638870869111,3.18857469774739e-11,6.93865643719385e-12,0.21760996981177,0.21760996981177,"glucose","Fermenter",0.198952085910143,3.47282609673435,"A3_glucose_12_Fermenter",0.317236592492694,25.1802034991297,9.49988757237662,0.0072959813705587,"glucose",12,"Fermenter",TRUE,FALSE
"92","A4","900","Glu",42,"blue",30,3.781599521,0.046252039,0.05786875,1565320753,7.701955159,"No",0.151516439,0.555971097973684,55.0087101528765,3.51421330404328e-11,4.92036864919787e-12,0.140013374929084,0.140013374929084,"glucose","Fermenter",0.193609182797712,4.63322880959108,"A4_glucose_40_Fermenter",0.354914271632177,38.8876364350134,14.2408059965644,0.00123689375846948,"glucose",40,"Fermenter",FALSE,FALSE
"93","A5","904","Gal",42,"blue",30,4.473047066,0.959782536,0.06016875,1627534603,11.82544174,"No",0.13572893,0.571758606973684,56.5707526939045,3.47585560329279e-11,7.26586194739111e-12,0.209038083760095,0.209038083760095,"glucose","Fermenter",0.213562034072322,2.01299033889033,"A5_glucose_40_Fermenter",0.560612416406961,42,15.4774759690439,0.0113133386261399,"glucose",40,"Fermenter",FALSE,FALSE
"94","A6","916","Glu",37,"blue",30,4.58258331,0.709138789,0.05146875,1392203953,11.29258299,"No",0.147974328,0.559513208973684,55.3591725384905,3.97636944064118e-11,8.11129932914362e-12,0.203987568313967,0.203987568313967,"glucose","Fermenter",0.297010174229173,1.61033495985227,"A6_glucose_37_Fermenter",0.615733400534081,42,15.7589130722415,0.0792179830758047,"glucose",37,"Fermenter",FALSE,FALSE
"95","A7","920","Gal",37,"blue",30,4.675004517,0.653073741,0.05046875,1365154453,11.30923026,"No",0.143911783,0.563575753973684,55.7611275343573,4.08460210577779e-11,8.28421299520165e-12,0.20281566675695,0.20281566675695,"glucose","Fermenter",0.306772254255085,2.39252164202222,"A7_glucose_37_Fermenter",0.556871802452878,42,16.149047138765,0.0568326428492814,"glucose",37,"Fermenter",FALSE,FALSE
"96","A8","932","Glu",30,"blue",30,4.479893081,1.805155522,0.06876875,1860160303,14.37525273,"Yes",0.13846705,0.569020486973684,56.2998385222996,3.02661219205147e-11,7.72796446995246e-12,0.255333818129978,0.255333818129978,"glucose","Fermenter",0.196952406114125,3.74120878642865,"A8_glucose_30_Fermenter",0.332428121736282,30.9392931730922,7.5702601502773,0.0348890731526114,"glucose",30,"Fermenter",FALSE,FALSE
"97","A9","936","Gal",30,"blue",30,6.013400507,1.674337075,0.07166875,1938603853,17.04981224,"Yes",0.153627119,0.553860417973684,54.7998759441044,2.82677019646388e-11,8.79489237247482e-12,0.311128664915058,0.311128664915058,"glucose","Fermenter",0.241224008239106,1.36557288109196,"A9_glucose_30_Fermenter",0.393762209218432,29.2550517741263,8.47241587942261,0.0264432686617904,"glucose",30,"Fermenter",TRUE,FALSE
"98","A10","945","Glu",22,"blue",30,3.932211857,0.360656037,0.04966875,1343514853,8.946391825,"No",0.139505003,0.567982533973684,56.1971417167689,4.18284484099923e-11,6.65894523236804e-12,0.15919656323607,0.15919656323607,"glucose","Fermenter",0.219014868049038,2.02806113382551,"A10_glucose_22_Fermenter",0.38562563854326,22.0548881616896,13.0736025205923,0.01897125123182,"glucose",22,"Fermenter",TRUE,FALSE
"99","A11","947","Gal",22,"blue",30,7.659867186,0.393635477,0.03396875,918837703.1,16.5006408,"No",0.131301146,0.576186390973684,57.0088450471999,6.20445208711636e-11,1.7958166871396e-11,0.289440012095289,0.289440012095289,"glucose","Fermenter",0.195056019796548,1.86525277755431,"A11_glucose_22_Fermenter",0.349742058586689,24.4855272003578,12.0539338289101,0.0307636713115071,"glucose",22,"Fermenter",TRUE,FALSE
"100","B2","895","Glu",12,"blue",30,5.486257329,1.224717373,0.07036875,1903439503,14.64666678,"No",0.144949736,0.562537800973684,55.6584307288265,2.92409770003741e-11,7.69484228782447e-12,0.263152708191865,0.263152708191865,"glucose","Fermenter",0.186808361358738,1.87914824825266,"B2_glucose_12_Fermenter",0.271494856788626,24.4480911211716,10.3877792953868,0.0123943614130484,"glucose",12,"Fermenter",TRUE,FALSE
"101","B3","899","Gal",12,"blue",30,4.91803806,0.621193615,0.05526875,1494992053,11.69965697,"No",0.144658012,0.562829524973684,55.6872943892202,3.72492243537165e-11,7.82589910529778e-12,0.210095625911119,0.210095625911119,"glucose","Fermenter",0.21404153562643,4.22787233061555,"B3_glucose_12_Fermenter",0.313109631183428,26.1685791618985,8.6390317312754,0.00924615769241054,"glucose",12,"Fermenter",TRUE,FALSE
"102","B4","901","Glu",42,"blue",30,8.204125402,0.711337419,0.04696875,1270481203,18.54226306,"No",0.130294699,0.577192837973684,57.1084245964049,4.49502318189e-11,1.45946772106631e-11,0.324685248998574,0.324685248998574,"glucose","Fermenter",0.271751029780256,3.28538759019501,"B4_glucose_40_Fermenter",0.543351055469832,42,16.2919685570738,0.0227963387497514,"glucose",40,"Fermenter",FALSE,FALSE
"103","B5","905","Gal",42,"blue",30,7.892631706,0.565128567,0.06036875,1632944503,17.48064911,"No",0.144960238,0.562527298973684,55.6573916433846,3.40840680997624e-11,1.07049866531808e-11,0.314075967160019,0.314075967160019,"glucose","Fermenter",0.2440385802891,2.43422786856793,"B5_glucose_40_Fermenter",0.524726675580153,35.5281580861578,11.0488618733327,0.00414607837452519,"glucose",40,"Fermenter",FALSE,FALSE
"104","B6","917","Glu",37,"blue",30,11.3806765,1.418196756,0.04906875,1327285153,27.01594327,"No",0.141241927,0.566245609973684,56.0252875516481,4.22104379190988e-11,2.03542872523942e-11,0.482209810080757,0.482209810080757,"glucose","Fermenter",0.245380809686493,3.35877817414605,"B6_glucose_37_Fermenter",0.470270751902584,33.6830696245961,9.97122509935006,0.0127206325600839,"glucose",37,"Fermenter",FALSE,FALSE
"105","B7","921","Gal",37,"blue",30,8.231509463,1.310463918,0.06686875,1808766253,20.39441068,"No",0.125512179,0.581975357973684,57.5816151227455,3.18347464893495e-11,1.12753157828846e-11,0.35418267856026,0.35418267856026,"glucose","Fermenter",0.207374160286883,0.135467202953877,"B7_glucose_37_Fermenter",0.428754036634501,32.7748846427206,9.97138943008838,0.0247633086906964,"glucose",37,"Fermenter",FALSE,FALSE
"106","B8","933","Glu",30,"blue",30,9.25498875,0.463991616,0.06546875,1770896953,19.90195235,"Yes",0.10896794,0.598519596973684,59.2185297954108,3.34398507463075e-11,1.12383458090461e-11,0.336076434500445,0.336076434500445,"glucose","Fermenter",0.189335410167756,0.111070130680416,"B8_glucose_30_Fermenter",0.272424845646873,33.3880443377732,16.9493558215255,0.0170857141474662,"glucose",30,"Fermenter",FALSE,FALSE
"107","B9","937","Gal",30,"blue",30,8.693615495,1.040032507,0.06776875,1833110803,20.50732851,"Yes",0.141549053,0.565938483973684,55.9948999916184,3.05463804479136e-11,1.11871734520567e-11,0.366235648479944,0.366235648479944,"glucose","Fermenter",0.195735293665889,1.30147111638801,"B9_glucose_30_Fermenter",0.45202333459623,33.1177805033243,9.74477149196107,0.0164667594075266,"glucose",30,"Fermenter",FALSE,FALSE
"108","B10","946","Glu",22,"blue",30,8.717576549,1.185142044,0.06686875,1808766253,20.99057923,"No",0.140214475,0.567273061973684,56.1269453706785,3.10305133554914e-11,1.16049153367304e-11,0.373983994521208,0.373983994521208,"glucose","Fermenter",0.230154772677791,0.129858609452972,"B10_glucose_22_Fermenter",0.483185080929787,32.3090954111936,6.51040260654919,0.0623385935669381,"glucose",22,"Fermenter",FALSE,FALSE
"109","B11","948","Gal",22,"blue",30,6.975265656,1.214823541,0.06756875,1827700903,17.59500193,"No",0.144907728,0.562579808973684,55.6625870705941,3.04549759641904e-11,9.62684972203026e-12,0.316101044812831,0.316101044812831,"glucose","Fermenter",0.225230498450919,1.81241281115523,"B11_glucose_22_Fermenter",0.450393525190615,30.6208867766495,8.3058247173278,0.0595006504189654,"glucose",22,"Fermenter",FALSE,FALSE
"110","C9","938","Gal",30,"blue",30,8.468601907,0.440906008,0.03646875,986461453.1,18.25992184,"Yes",0.132657079,0.574830457973684,56.874686768729,5.76552551445348e-11,1.85105274844925e-11,0.321055338981484,0.321055338981484,"glucose","Fermenter",0.179373293729769,2.76418403989498,"C9_glucose_30_Fermenter",0.26808482544781,28.1877438764618,17.3600996966949,0.00672595365507144,"glucose",30,"Fermenter",TRUE,FALSE
"111","D2","897","Rib",12,"blue",30,7.159369729,0,0.00996875,269649703.1,14.31873946,"No",0.145627702,0.561859834973684,55.5913516390619,2.06161367878257e-10,5.31012617310017e-11,0.257571349460386,0.257571349460386,"glucose","Fermenter",0.161404230471233,0.0919092235553205,"D2_glucose_12_Fermenter",0.523438127277957,26.9449298660242,3.4369784738932,0.0259380697759988,"glucose",12,"Fermenter",TRUE,FALSE
"113","E2","892","Fru",12,"blue",30,6.609003838,1.342344043,0.05806875,1570730653,17.24503981,"No",0.133329794,0.574157742973684,56.8081272216854,3.61666891221517e-11,1.09789923415979e-11,0.303566420042396,0.303566420042396,"glucose","Fermenter",0.193089262853541,4.30329002471529,"E2_glucose_12_Fermenter",0.260654863865376,19.869083290391,10.9148057610908,0.0182971123040762,"glucose",12,"Fermenter",TRUE,FALSE
"114","E3","896","Rib",12,"blue",30,7.437371689,0.792686705,0.05526875,1494992053,17.25280349,"No",0.131931853,0.575555683973684,56.9464418419239,3.80914679296452e-11,1.1540398128123e-11,0.302965434396965,0.302965434396965,"glucose","Fermenter",0.186617941567416,4.93430469693972,"E3_glucose_12_Fermenter",0.215840790785439,17.2901368032894,18.7454803355969,0.0303260770165671,"glucose",12,"Fermenter",TRUE,FALSE
"115","E4","908","Fru",42,"blue",30,7.242260253,0.355159463,0.04816875,1302940603,15.5499989,"No",0.138874296,0.568613240973684,56.2595449220449,4.31789022404461e-11,1.19345416546206e-11,0.276397523683254,0.276397523683254,"glucose","Fermenter",0.292681924664653,0.193732141599672,"E4_glucose_40_Fermenter",0.514201111780572,33.4764996162495,9.17547889803427,0.0105867741269254,"glucose",40,"Fermenter",FALSE,FALSE
"116","E5","912","Rib",42,"blue",30,10.07308758,0.211149241,0.04676875,1265071303,20.77962288,"No",0.145643455,0.561844081973684,55.5897930108991,4.3942023567425e-11,1.64256535032634e-11,0.373802846791063,0.373802846791063,"glucose","Fermenter",0.258840550970457,0.14837229025459,"E5_glucose_40_Fermenter",0.501569892891239,32.1684361972763,8.21891087252112,0.0118781723591451,"glucose",40,"Fermenter",FALSE,FALSE
"117","E6","924","Fru",37,"blue",30,7.293605367,1.015847584,0.05546875,1500401953,17.63475349,"No",0.157694915,0.549792621973684,54.3974014055168,3.62552190076473e-11,1.1753352796389e-11,0.324183748384193,0.324183748384193,"glucose","Fermenter",0.217140013040292,1.55509906849844,"E6_glucose_37_Fermenter",0.469381483222124,33.8283877772163,9.65220241753711,0.0183973136176361,"glucose",37,"Fermenter",FALSE,FALSE
